2026-05-14 11:49:46,073 - main - INFO - === Logging system initialized ===
2026-05-14 11:49:46,073 - main - INFO - Log file: logs/app_20260514_114946.log
2026-05-14 11:49:46,073 - main - INFO - Log level: INFO
2026-05-14 11:49:46,073 - main - INFO - Timestamp: 20260514_114946
2026-05-14 11:49:51,012 - main - INFO - Included router: routers.aihub.router
2026-05-14 11:49:51,352 - main - INFO - Included router: routers.auth.router
2026-05-14 11:49:51,384 - main - INFO - Included router: routers.health.router
2026-05-14 11:49:51,466 - main - INFO - Included router: routers.settings.router
2026-05-14 11:49:51,615 - main - INFO - Included router: routers.storage.router
2026-05-14 11:49:52,083 - main - INFO - Included router: routers.user.router
2026-05-14 11:49:53,913 - watchfiles.main - DEBUG - 1 change detected: {(<Change.added: 1>, '/workspace/app/backend/logs/app_20260514_114953.log')}
2026-05-14 11:49:54,265 - watchfiles.main - DEBUG - 1 change detected: {(<Change.modified: 2>, '/workspace/app/backend/logs/app_20260514_114946.log')}
2026-05-14 11:49:54,616 - watchfiles.main - DEBUG - 1 change detected: {(<Change.modified: 2>, '/workspace/app/backend/logs/app_20260514_114946.log')}
2026-05-14 11:49:55,016 - watchfiles.main - DEBUG - 2 changes detected: {(<Change.modified: 2>, '/workspace/app/backend/logs/app_20260514_114946.log'), (<Change.modified: 2>, '/workspace/app/backend/logs/app_20260514_114953.log')}
2026-05-14 11:49:55,367 - watchfiles.main - DEBUG - 2 changes detected: {(<Change.modified: 2>, '/workspace/app/backend/logs/app_20260514_114946.log'), (<Change.modified: 2>, '/workspace/app/backend/logs/app_20260514_114953.log')}
2026-05-14 11:49:55,718 - watchfiles.main - DEBUG - 1 change detected: {(<Change.modified: 2>, '/workspace/app/backend/logs/app_20260514_114946.log')}
2026-05-14 11:49:56,069 - watchfiles.main - DEBUG - 1 change detected: {(<Change.modified: 2>, '/workspace/app/backend/logs/app_20260514_114946.log')}
2026-05-14 11:49:56,420 - watchfiles.main - DEBUG - 1 change detected: {(<Change.modified: 2>, '/workspace/app/backend/logs/app_20260514_114946.log')}
2026-05-14 11:49:56,771 - watchfiles.main - DEBUG - 1 change detected: {(<Change.modified: 2>, '/workspace/app/backend/logs/app_20260514_114946.log')}
2026-05-14 11:49:57,122 - watchfiles.main - DEBUG - 1 change detected: {(<Change.modified: 2>, '/workspace/app/backend/logs/app_20260514_114946.log')}
2026-05-14 11:49:57,473 - watchfiles.main - DEBUG - 1 change detected: {(<Change.modified: 2>, '/workspace/app/backend/logs/app_20260514_114946.log')}
2026-05-14 11:49:57,853 - watchfiles.main - DEBUG - 1 change detected: {(<Change.modified: 2>, '/workspace/app/backend/logs/app_20260514_114946.log')}
2026-05-14 11:49:58,204 - watchfiles.main - DEBUG - 1 change detected: {(<Change.modified: 2>, '/workspace/app/backend/logs/app_20260514_114946.log')}
2026-05-14 11:49:58,555 - watchfiles.main - DEBUG - 1 change detected: {(<Change.modified: 2>, '/workspace/app/backend/logs/app_20260514_114946.log')}
2026-05-14 11:49:58,905 - watchfiles.main - DEBUG - 1 change detected: {(<Change.modified: 2>, '/workspace/app/backend/logs/app_20260514_114946.log')}
2026-05-14 11:49:59,256 - watchfiles.main - DEBUG - 1 change detected: {(<Change.modified: 2>, '/workspace/app/backend/logs/app_20260514_114946.log')}
2026-05-14 11:49:59,607 - watchfiles.main - DEBUG - 1 change detected: {(<Change.modified: 2>, '/workspace/app/backend/logs/app_20260514_114946.log')}
2026-05-14 11:49:59,958 - watchfiles.main - DEBUG - 1 change detected: {(<Change.modified: 2>, '/workspace/app/backend/logs/app_20260514_114946.log')}
2026-05-14 11:50:00,309 - watchfiles.main - DEBUG - 1 change detected: {(<Change.modified: 2>, '/workspace/app/backend/logs/app_20260514_114946.log')}
2026-05-14 11:50:00,659 - watchfiles.main - DEBUG - 1 change detected: {(<Change.modified: 2>, '/workspace/app/backend/logs/app_20260514_114946.log')}
2026-05-14 11:50:01,010 - watchfiles.main - DEBUG - 1 change detected: {(<Change.modified: 2>, '/workspace/app/backend/logs/app_20260514_114946.log')}
2026-05-14 11:50:01,361 - watchfiles.main - DEBUG - 1 change detected: {(<Change.modified: 2>, '/workspace/app/backend/logs/app_20260514_114946.log')}
2026-05-14 11:50:01,712 - watchfiles.main - DEBUG - 1 change detected: {(<Change.modified: 2>, '/workspace/app/backend/logs/app_20260514_114946.log')}
2026-05-14 11:50:02,064 - watchfiles.main - DEBUG - 1 change detected: {(<Change.modified: 2>, '/workspace/app/backend/logs/app_20260514_114946.log')}
2026-05-14 11:50:02,415 - watchfiles.main - DEBUG - 1 change detected: {(<Change.modified: 2>, '/workspace/app/backend/logs/app_20260514_114946.log')}
2026-05-14 11:50:02,766 - watchfiles.main - DEBUG - 1 change detected: {(<Change.modified: 2>, '/workspace/app/backend/logs/app_20260514_114946.log')}
2026-05-14 11:50:03,117 - watchfiles.main - DEBUG - 1 change detected: {(<Change.modified: 2>, '/workspace/app/backend/logs/app_20260514_114946.log')}
2026-05-14 11:50:03,468 - watchfiles.main - DEBUG - 1 change detected: {(<Change.modified: 2>, '/workspace/app/backend/logs/app_20260514_114946.log')}
2026-05-14 11:50:03,819 - watchfiles.main - DEBUG - 1 change detected: {(<Change.modified: 2>, '/workspace/app/backend/logs/app_20260514_114946.log')}
2026-05-14 11:50:04,170 - watchfiles.main - DEBUG - 1 change detected: {(<Change.modified: 2>, '/workspace/app/backend/logs/app_20260514_114946.log')}
2026-05-14 11:50:04,522 - watchfiles.main - DEBUG - 1 change detected: {(<Change.modified: 2>, '/workspace/app/backend/logs/app_20260514_114946.log')}
2026-05-14 11:50:04,873 - watchfiles.main - DEBUG - 1 change detected: {(<Change.modified: 2>, '/workspace/app/backend/logs/app_20260514_114946.log')}
2026-05-14 11:50:05,224 - watchfiles.main - DEBUG - 1 change detected: {(<Change.modified: 2>, '/workspace/app/backend/logs/app_20260514_114946.log')}
2026-05-14 11:50:05,575 - watchfiles.main - DEBUG - 1 change detected: {(<Change.modified: 2>, '/workspace/app/backend/logs/app_20260514_114946.log')}
2026-05-14 11:50:05,926 - watchfiles.main - DEBUG - 1 change detected: {(<Change.modified: 2>, '/workspace/app/backend/logs/app_20260514_114946.log')}
2026-05-14 11:50:06,277 - watchfiles.main - DEBUG - 1 change detected: {(<Change.modified: 2>, '/workspace/app/backend/logs/app_20260514_114946.log')}
2026-05-14 11:50:06,628 - watchfiles.main - DEBUG - 1 change detected: {(<Change.modified: 2>, '/workspace/app/backend/logs/app_20260514_114946.log')}
2026-05-14 11:50:06,979 - watchfiles.main - DEBUG - 1 change detected: {(<Change.modified: 2>, '/workspace/app/backend/logs/app_20260514_114946.log')}
2026-05-14 11:50:07,330 - watchfiles.main - DEBUG - 1 change detected: {(<Change.modified: 2>, '/workspace/app/backend/logs/app_20260514_114946.log')}
2026-05-14 11:50:07,681 - watchfiles.main - DEBUG - 1 change detected: {(<Change.modified: 2>, '/workspace/app/backend/logs/app_20260514_114946.log')}
2026-05-14 11:50:08,032 - watchfiles.main - DEBUG - 1 change detected: {(<Change.modified: 2>, '/workspace/app/backend/logs/app_20260514_114946.log')}
2026-05-14 11:50:08,383 - watchfiles.main - DEBUG - 1 change detected: {(<Change.modified: 2>, '/workspace/app/backend/logs/app_20260514_114946.log')}
2026-05-14 11:50:08,734 - watchfiles.main - DEBUG - 1 change detected: {(<Change.modified: 2>, '/workspace/app/backend/logs/app_20260514_114946.log')}
2026-05-14 11:50:09,084 - watchfiles.main - DEBUG - 1 change detected: {(<Change.modified: 2>, '/workspace/app/backend/logs/app_20260514_114946.log')}
2026-05-14 11:50:09,435 - watchfiles.main - DEBUG - 1 change detected: {(<Change.modified: 2>, '/workspace/app/backend/logs/app_20260514_114946.log')}
2026-05-14 11:50:09,786 - watchfiles.main - DEBUG - 1 change detected: {(<Change.modified: 2>, '/workspace/app/backend/logs/app_20260514_114946.log')}
2026-05-14 11:50:10,137 - watchfiles.main - DEBUG - 1 change detected: {(<Change.modified: 2>, '/workspace/app/backend/logs/app_20260514_114946.log')}
2026-05-14 11:50:10,488 - watchfiles.main - DEBUG - 1 change detected: {(<Change.modified: 2>, '/workspace/app/backend/logs/app_20260514_114946.log')}
2026-05-14 11:50:10,839 - watchfiles.main - DEBUG - 1 change detected: {(<Change.modified: 2>, '/workspace/app/backend/logs/app_20260514_114946.log')}
2026-05-14 11:50:11,190 - watchfiles.main - DEBUG - 1 change detected: {(<Change.modified: 2>, '/workspace/app/backend/logs/app_20260514_114946.log')}
2026-05-14 11:50:11,541 - watchfiles.main - DEBUG - 1 change detected: {(<Change.modified: 2>, '/workspace/app/backend/logs/app_20260514_114946.log')}
2026-05-14 11:50:11,891 - watchfiles.main - DEBUG - 1 change detected: {(<Change.modified: 2>, '/workspace/app/backend/logs/app_20260514_114946.log')}
2026-05-14 11:50:12,242 - watchfiles.main - DEBUG - 1 change detected: {(<Change.modified: 2>, '/workspace/app/backend/logs/app_20260514_114946.log')}
2026-05-14 11:50:12,593 - watchfiles.main - DEBUG - 1 change detected: {(<Change.modified: 2>, '/workspace/app/backend/logs/app_20260514_114946.log')}
2026-05-14 11:50:12,944 - watchfiles.main - DEBUG - 1 change detected: {(<Change.modified: 2>, '/workspace/app/backend/logs/app_20260514_114946.log')}
2026-05-14 11:50:13,295 - watchfiles.main - DEBUG - 1 change detected: {(<Change.modified: 2>, '/workspace/app/backend/logs/app_20260514_114946.log')}
2026-05-14 11:50:13,646 - watchfiles.main - DEBUG - 1 change detected: {(<Change.modified: 2>, '/workspace/app/backend/logs/app_20260514_114946.log')}
2026-05-14 11:50:13,997 - watchfiles.main - DEBUG - 1 change detected: {(<Change.modified: 2>, '/workspace/app/backend/logs/app_20260514_114946.log')}
2026-05-14 11:50:14,348 - watchfiles.main - DEBUG - 1 change detected: {(<Change.modified: 2>, '/workspace/app/backend/logs/app_20260514_114946.log')}
2026-05-14 11:50:14,699 - watchfiles.main - DEBUG - 1 change detected: {(<Change.modified: 2>, '/workspace/app/backend/logs/app_20260514_114946.log')}
2026-05-14 11:50:15,050 - watchfiles.main - DEBUG - 1 change detected: {(<Change.modified: 2>, '/workspace/app/backend/logs/app_20260514_114946.log')}
2026-05-14 11:50:15,401 - watchfiles.main - DEBUG - 1 change detected: {(<Change.modified: 2>, '/workspace/app/backend/logs/app_20260514_114946.log')}
2026-05-14 11:50:15,752 - watchfiles.main - DEBUG - 1 change detected: {(<Change.modified: 2>, '/workspace/app/backend/logs/app_20260514_114946.log')}
2026-05-14 11:50:16,102 - watchfiles.main - DEBUG - 1 change detected: {(<Change.modified: 2>, '/workspace/app/backend/logs/app_20260514_114946.log')}
2026-05-14 11:50:16,454 - watchfiles.main - DEBUG - 1 change detected: {(<Change.modified: 2>, '/workspace/app/backend/logs/app_20260514_114946.log')}
2026-05-14 11:50:16,805 - watchfiles.main - DEBUG - 1 change detected: {(<Change.modified: 2>, '/workspace/app/backend/logs/app_20260514_114946.log')}
2026-05-14 11:50:17,155 - watchfiles.main - DEBUG - 1 change detected: {(<Change.modified: 2>, '/workspace/app/backend/logs/app_20260514_114946.log')}
2026-05-14 11:50:17,506 - watchfiles.main - DEBUG - 1 change detected: {(<Change.modified: 2>, '/workspace/app/backend/logs/app_20260514_114946.log')}
2026-05-14 11:50:17,857 - watchfiles.main - DEBUG - 1 change detected: {(<Change.modified: 2>, '/workspace/app/backend/logs/app_20260514_114946.log')}
2026-05-14 11:50:18,208 - watchfiles.main - DEBUG - 1 change detected: {(<Change.modified: 2>, '/workspace/app/backend/logs/app_20260514_114946.log')}
2026-05-14 11:50:18,559 - watchfiles.main - DEBUG - 1 change detected: {(<Change.modified: 2>, '/workspace/app/backend/logs/app_20260514_114946.log')}
2026-05-14 11:50:18,910 - watchfiles.main - DEBUG - 1 change detected: {(<Change.modified: 2>, '/workspace/app/backend/logs/app_20260514_114946.log')}
2026-05-14 11:50:19,260 - watchfiles.main - DEBUG - 1 change detected: {(<Change.modified: 2>, '/workspace/app/backend/logs/app_20260514_114946.log')}
2026-05-14 11:50:19,611 - watchfiles.main - DEBUG - 1 change detected: {(<Change.modified: 2>, '/workspace/app/backend/logs/app_20260514_114946.log')}
2026-05-14 11:50:19,962 - watchfiles.main - DEBUG - 1 change detected: {(<Change.modified: 2>, '/workspace/app/backend/logs/app_20260514_114946.log')}
2026-05-14 11:50:20,313 - watchfiles.main - DEBUG - 1 change detected: {(<Change.modified: 2>, '/workspace/app/backend/logs/app_20260514_114946.log')}
2026-05-14 11:50:20,664 - watchfiles.main - DEBUG - 1 change detected: {(<Change.modified: 2>, '/workspace/app/backend/logs/app_20260514_114946.log')}
2026-05-14 11:50:21,015 - watchfiles.main - DEBUG - 1 change detected: {(<Change.modified: 2>, '/workspace/app/backend/logs/app_20260514_114946.log')}
2026-05-14 11:50:21,366 - watchfiles.main - DEBUG - 1 change detected: {(<Change.modified: 2>, '/workspace/app/backend/logs/app_20260514_114946.log')}
2026-05-14 11:50:21,717 - watchfiles.main - DEBUG - 1 change detected: {(<Change.modified: 2>, '/workspace/app/backend/logs/app_20260514_114946.log')}
2026-05-14 11:50:22,068 - watchfiles.main - DEBUG - 1 change detected: {(<Change.modified: 2>, '/workspace/app/backend/logs/app_20260514_114946.log')}
2026-05-14 11:50:22,419 - watchfiles.main - DEBUG - 1 change detected: {(<Change.modified: 2>, '/workspace/app/backend/logs/app_20260514_114946.log')}
2026-05-14 11:50:22,770 - watchfiles.main - DEBUG - 1 change detected: {(<Change.modified: 2>, '/workspace/app/backend/logs/app_20260514_114946.log')}
2026-05-14 11:50:23,121 - watchfiles.main - DEBUG - 1 change detected: {(<Change.modified: 2>, '/workspace/app/backend/logs/app_20260514_114946.log')}
2026-05-14 11:50:23,471 - watchfiles.main - DEBUG - 1 change detected: {(<Change.modified: 2>, '/workspace/app/backend/logs/app_20260514_114946.log')}
2026-05-14 11:50:23,822 - watchfiles.main - DEBUG - 1 change detected: {(<Change.modified: 2>, '/workspace/app/backend/logs/app_20260514_114946.log')}
2026-05-14 11:50:24,173 - watchfiles.main - DEBUG - 1 change detected: {(<Change.modified: 2>, '/workspace/app/backend/logs/app_20260514_114946.log')}
2026-05-14 11:50:24,524 - watchfiles.main - DEBUG - 1 change detected: {(<Change.modified: 2>, '/workspace/app/backend/logs/app_20260514_114946.log')}
2026-05-14 11:50:24,875 - watchfiles.main - DEBUG - 1 change detected: {(<Change.modified: 2>, '/workspace/app/backend/logs/app_20260514_114946.log')}
2026-05-14 11:50:25,225 - watchfiles.main - DEBUG - 1 change detected: {(<Change.modified: 2>, '/workspace/app/backend/logs/app_20260514_114946.log')}
2026-05-14 11:50:25,576 - watchfiles.main - DEBUG - 1 change detected: {(<Change.modified: 2>, '/workspace/app/backend/logs/app_20260514_114946.log')}
2026-05-14 11:50:25,927 - watchfiles.main - DEBUG - 1 change detected: {(<Change.modified: 2>, '/workspace/app/backend/logs/app_20260514_114946.log')}
2026-05-14 11:50:26,278 - watchfiles.main - DEBUG - 1 change detected: {(<Change.modified: 2>, '/workspace/app/backend/logs/app_20260514_114946.log')}
2026-05-14 11:50:26,629 - watchfiles.main - DEBUG - 1 change detected: {(<Change.modified: 2>, '/workspace/app/backend/logs/app_20260514_114946.log')}
2026-05-14 11:50:26,981 - watchfiles.main - DEBUG - 1 change detected: {(<Change.modified: 2>, '/workspace/app/backend/logs/app_20260514_114946.log')}
2026-05-14 11:50:27,332 - watchfiles.main - DEBUG - 1 change detected: {(<Change.modified: 2>, '/workspace/app/backend/logs/app_20260514_114946.log')}
2026-05-14 11:50:27,682 - watchfiles.main - DEBUG - 1 change detected: {(<Change.modified: 2>, '/workspace/app/backend/logs/app_20260514_114946.log')}
2026-05-14 11:50:28,034 - watchfiles.main - DEBUG - 1 change detected: {(<Change.modified: 2>, '/workspace/app/backend/logs/app_20260514_114946.log')}
2026-05-14 11:50:28,384 - watchfiles.main - DEBUG - 1 change detected: {(<Change.modified: 2>, '/workspace/app/backend/logs/app_20260514_114946.log')}
2026-05-14 11:50:28,735 - watchfiles.main - DEBUG - 1 change detected: {(<Change.modified: 2>, '/workspace/app/backend/logs/app_20260514_114946.log')}
