2026-05-14 11:57:22,799 - main - INFO - === Logging system initialized ===
2026-05-14 11:57:22,799 - main - INFO - Log file: logs/app_20260514_115722.log
2026-05-14 11:57:22,799 - main - INFO - Log level: INFO
2026-05-14 11:57:22,799 - main - INFO - Timestamp: 20260514_115722
2026-05-14 11:57:23,759 - main - INFO - Included router: routers.aihub.router
2026-05-14 11:57:23,778 - main - INFO - Included router: routers.auth.router
2026-05-14 11:57:23,878 - main - INFO - Included router: routers.diagnostic_reports.router
2026-05-14 11:57:24,089 - main - INFO - Included router: routers.favorite_nodes.router
2026-05-14 11:57:24,091 - main - INFO - Included router: routers.health.router
2026-05-14 11:57:24,113 - main - INFO - Included router: routers.settings.router
2026-05-14 11:57:24,149 - main - INFO - Included router: routers.storage.router
2026-05-14 11:57:24,267 - main - INFO - Included router: routers.subscription_plans.router
2026-05-14 11:57:24,276 - main - INFO - Included router: routers.user.router
2026-05-14 11:57:24,512 - main - INFO - Included router: routers.user_subscriptions.router
2026-05-14 11:57:24,655 - main - INFO - Included router: routers.vpn_nodes.router
2026-05-14 11:57:26,227 - watchfiles.main - DEBUG - 1 change detected: {(<Change.added: 1>, '/workspace/app/backend/logs/app_20260514_115726.log')}
2026-05-14 11:57:26,578 - watchfiles.main - DEBUG - 1 change detected: {(<Change.modified: 2>, '/workspace/app/backend/logs/app_20260514_115722.log')}
2026-05-14 11:57:26,929 - watchfiles.main - DEBUG - 1 change detected: {(<Change.modified: 2>, '/workspace/app/backend/logs/app_20260514_115722.log')}
2026-05-14 11:57:27,279 - watchfiles.main - DEBUG - 2 changes detected: {(<Change.modified: 2>, '/workspace/app/backend/logs/app_20260514_115726.log'), (<Change.modified: 2>, '/workspace/app/backend/logs/app_20260514_115722.log')}
2026-05-14 11:57:27,630 - watchfiles.main - DEBUG - 2 changes detected: {(<Change.modified: 2>, '/workspace/app/backend/logs/app_20260514_115726.log'), (<Change.modified: 2>, '/workspace/app/backend/logs/app_20260514_115722.log')}
2026-05-14 11:57:27,981 - watchfiles.main - DEBUG - 1 change detected: {(<Change.modified: 2>, '/workspace/app/backend/logs/app_20260514_115722.log')}
2026-05-14 11:57:28,332 - watchfiles.main - DEBUG - 1 change detected: {(<Change.modified: 2>, '/workspace/app/backend/logs/app_20260514_115722.log')}
2026-05-14 11:57:28,682 - watchfiles.main - DEBUG - 1 change detected: {(<Change.modified: 2>, '/workspace/app/backend/logs/app_20260514_115722.log')}
2026-05-14 11:57:29,033 - watchfiles.main - DEBUG - 1 change detected: {(<Change.modified: 2>, '/workspace/app/backend/logs/app_20260514_115722.log')}
2026-05-14 11:57:29,384 - watchfiles.main - DEBUG - 1 change detected: {(<Change.modified: 2>, '/workspace/app/backend/logs/app_20260514_115722.log')}
2026-05-14 11:57:29,735 - watchfiles.main - DEBUG - 1 change detected: {(<Change.modified: 2>, '/workspace/app/backend/logs/app_20260514_115722.log')}
2026-05-14 11:57:30,086 - watchfiles.main - DEBUG - 1 change detected: {(<Change.modified: 2>, '/workspace/app/backend/logs/app_20260514_115722.log')}
2026-05-14 11:57:30,436 - watchfiles.main - DEBUG - 1 change detected: {(<Change.modified: 2>, '/workspace/app/backend/logs/app_20260514_115722.log')}
2026-05-14 11:57:30,787 - watchfiles.main - DEBUG - 1 change detected: {(<Change.modified: 2>, '/workspace/app/backend/logs/app_20260514_115722.log')}
2026-05-14 11:57:31,138 - watchfiles.main - DEBUG - 1 change detected: {(<Change.modified: 2>, '/workspace/app/backend/logs/app_20260514_115722.log')}
2026-05-14 11:57:31,489 - watchfiles.main - DEBUG - 1 change detected: {(<Change.modified: 2>, '/workspace/app/backend/logs/app_20260514_115722.log')}
2026-05-14 11:57:31,840 - watchfiles.main - DEBUG - 1 change detected: {(<Change.modified: 2>, '/workspace/app/backend/logs/app_20260514_115722.log')}
2026-05-14 11:57:32,191 - watchfiles.main - DEBUG - 1 change detected: {(<Change.modified: 2>, '/workspace/app/backend/logs/app_20260514_115722.log')}
2026-05-14 11:57:32,542 - watchfiles.main - DEBUG - 1 change detected: {(<Change.modified: 2>, '/workspace/app/backend/logs/app_20260514_115722.log')}
2026-05-14 11:57:32,893 - watchfiles.main - DEBUG - 1 change detected: {(<Change.modified: 2>, '/workspace/app/backend/logs/app_20260514_115722.log')}
2026-05-14 11:57:33,244 - watchfiles.main - DEBUG - 1 change detected: {(<Change.modified: 2>, '/workspace/app/backend/logs/app_20260514_115722.log')}
2026-05-14 11:57:33,595 - watchfiles.main - DEBUG - 1 change detected: {(<Change.modified: 2>, '/workspace/app/backend/logs/app_20260514_115722.log')}
